response_id,collection_date,urban_rural,education,income,Vote_Now,Past_Vote,CM_satisfaction,MLA_satisfaction,age,gender,assembly_no,category,weight
1100,5-28-2017,Rural,Graduate,"₹ 50,000 - ₹ 80,000",RJD,BJP,Fully Dissatisfied,Somewhat Satisfied,23,Male,199,BC,0.586158184
1101,5-28-2017,Rural,Graduate,"₹ 50,000 - ₹ 80,000",JD(U),JD(U),Fully Satisfied,Fully Dissatisfied,26,Male,178,BC,0.405707907
1102,5-28-2017,Rural,Graduate,"BPL/Below ₹ 5,000",NOTA,JD(U),Fully Dissatisfied,Fully Dissatisfied,30,Male,192,BC,0.396958371
1103,5-28-2017,Rural,Graduate,"BPL/Below ₹ 5,000",VIP,Left Front,Fully Dissatisfied,Fully Dissatisfied,28,Male,194,EBC,3.020887124
1104,5-28-2017,Rural,8th Pass,"BPL/Below ₹ 5,000",BJP,BJP,Fully Satisfied,Fully Satisfied,34,Male,206,Gen,0.275508747
1105,5-28-2017,Rural,Graduate,"₹ 30,000 - ₹ 50,000",BJP,BJP,Somewhat Satisfied,Somewhat Satisfied,33,Male,201,Gen,0.275508747
1106,5-28-2017,Rural,Post - Graduation,"BPL/Below ₹ 5,000",RJD,RJD,Fully Dissatisfied,Fully Satisfied,33,Male,211,BC,0.405707907
1107,5-28-2017,Rural,Professional Education,"₹ 50,000 - ₹ 80,000",BJP,Did not vote,Somewhat Satisfied,Can’t say,32,Female,190,Gen,0.228251813
1108,5-29-2017,Rural,10th Pass,"₹ 20,000 - ₹ 30,000",BJP,BJP,Somewhat Satisfied,Fully Dissatisfied,55,Male,198,Gen,2.092566579
1109,5-29-2017,Urban,Graduate,"₹ 20,000 - ₹ 30,000",NOTA,BJP,Somewhat Satisfied,Fully Dissatisfied,43,Male,182,BC,4.629945942
1110,5-29-2017,Rural,12th Pass,"₹ 10,000 - ₹ 20,000",JD(U),JD(U),Somewhat Dissatisfied,Fully Dissatisfied,32,Male,213,BC,0.66506573
1111,5-29-2017,Rural,Graduate,"BPL/Below ₹ 5,000",RJD,JD(U),Fully Dissatisfied,Fully Dissatisfied,34,Male,209,Gen,0.300585436
1112,5-29-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",RJD,RJD,Fully Dissatisfied,Fully Dissatisfied,23,Male,198,BC,0.586158184
1113,5-29-2017,Rural,Graduate,"₹ 50,000 - ₹ 80,000",JD(U),JD(U),Fully Satisfied,Fully Satisfied,22,Male,177,BC,0.333505499
1114,5-29-2017,Rural,Graduate,"₹ 30,000 - ₹ 50,000",BJP,NOTA,Fully Satisfied,Fully Satisfied,19,Male,194,Gen,0.226477425
1115,5-29-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",RJD,BJP,Fully Dissatisfied,Fully Dissatisfied,27,Male,203,Gen,0.228896763
1116,5-29-2017,Rural,Post - Graduation,"BPL/Below ₹ 5,000",RJD,RJD,Somewhat Satisfied,Fully Satisfied,27,Male,192,BC,0.713058738
1117,5-29-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",INC,JD(U),Fully Dissatisfied,Fully Dissatisfied,29,Male,171,Gen,0.857325864
1118,5-29-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",RJD,BJP,Fully Dissatisfied,Fully Satisfied,24,Male,208,EBC,0.040518922
1119,5-29-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",JD(U),Did not vote,Fully Satisfied,Fully Dissatisfied,20,Male,213,BC,0.333505499
1120,5-29-2017,Urban,Post - Graduation,"₹ 1,50,000 & above",RJD,INC,Fully Dissatisfied,Somewhat Satisfied,28,Male,200,BC,0.396958371
1121,5-29-2017,Urban,Graduate,"₹ 10,000 - ₹ 20,000",BJP,BJP,Somewhat Dissatisfied,Fully Dissatisfied,41,Male,212,Gen,1.91799178
1122,5-29-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",NOTA,JD(U),Somewhat Satisfied,Fully Dissatisfied,30,Male,176,Gen,0.587120746
1123,5-29-2017,Rural,Graduate,"₹ 1,50,000 & above",AAP,Did not vote,Fully Dissatisfied,Fully Dissatisfied,28,Male,207,SC,3.212888402
1124,5-29-2017,Rural,Post - Graduation,"₹ 10,000 - ₹ 20,000",RJD,JD(U),Somewhat Dissatisfied,Fully Dissatisfied,32,Male,179,BC,0.222468843
1125,5-29-2017,Rural,12th Pass,"₹ 5,000 - ₹ 10,000",RJD,RJD,Fully Dissatisfied,Fully Dissatisfied,24,Male,174,BC,0.586158184
1126,5-29-2017,Urban,Graduate,"₹ 30,000 - ₹ 50,000",NOTA,BJP,Fully Dissatisfied,Fully Dissatisfied,38,Male,172,BC,0.521282623
1127,5-29-2017,Rural,Post - Graduation,"BPL/Below ₹ 5,000",Undecided,BJP,Fully Dissatisfied,Fully Dissatisfied,31,Male,176,EBC,5.608025921
1128,5-29-2017,Rural,10th Pass,"₹ 5,000 - ₹ 10,000",RJD,RJD,Fully Dissatisfied,Fully Satisfied,36,Male,185,EBC,3.496873953
1129,5-29-2017,Rural,Graduate,"₹ 80,000 - ₹ 1,50,000",INC,BJP,Somewhat Satisfied,Fully Dissatisfied,26,Male,203,Gen,0.275508747
1130,5-29-2017,Rural,Graduate,"₹ 1,50,000 & above",NOTA,BJP,Somewhat Satisfied,Fully Dissatisfied,40,Male,206,Gen,1.24593114
1131,5-29-2017,Rural,Post - Graduation,"₹ 30,000 - ₹ 50,000",RJD,JD(U),Fully Dissatisfied,Fully Dissatisfied,28,Male,171,Gen,1.101297887
1132,5-29-2017,Rural,Graduate,"₹ 1,50,000 & above",BJP,BJP,Somewhat Satisfied,Fully Dissatisfied,25,Male,193,Gen,0.247091304
1133,5-29-2017,Rural,Graduate,"BPL/Below ₹ 5,000",BJP,BJP,Somewhat Dissatisfied,Fully Dissatisfied,25,Male,200,EBC,0.040518922
1134,5-29-2017,Rural,Post - Graduation,"₹ 1,50,000 & above",JD(U),JD(U),Fully Satisfied,Fully Dissatisfied,32,Male,175,BC,0.192186871
1135,5-29-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",RJD,RJD,Fully Satisfied,Fully Satisfied,60,Male,204,BC,4.964055821
1136,5-29-2017,Rural,Post - Graduation,"₹ 5,000 - ₹ 10,000",RJD,RJD,Fully Dissatisfied,Fully Dissatisfied,26,Male,208,BC,0.603418649
1137,5-29-2017,Rural,10th Pass,"₹ 10,000 - ₹ 20,000",RLSP,RLSP,Fully Dissatisfied,Fully Satisfied,19,Male,199,BC,1.172233991
1138,5-29-2017,Rural,10th Pass,"₹ 10,000 - ₹ 20,000",RJD,RJD,Fully Dissatisfied,Fully Dissatisfied,18,Male,184,BC,0.586158184
1139,5-29-2017,Urban,Post - Graduation,"₹ 10,000 - ₹ 20,000",NOTA,BJP,Fully Dissatisfied,Fully Dissatisfied,26,Male,183,EBC,0.851467114
1140,5-29-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",RJD,Did not vote,Fully Dissatisfied,Fully Dissatisfied,24,Male,207,EBC,0.391320254
1141,5-29-2017,Rural,Graduate,"BPL/Below ₹ 5,000",NOTA,JD(U),Somewhat Satisfied,Fully Dissatisfied,25,Male,172,Gen,0.521611571
1142,5-29-2017,Rural,Professional Education,"₹ 10,000 - ₹ 20,000",BJP,BJP,Somewhat Satisfied,Somewhat Satisfied,43,Male,207,Gen,1.91799178
1143,5-29-2017,Urban,Graduate,"₹ 5,000 - ₹ 10,000",RJD,Did not vote,Somewhat Satisfied,Fully Dissatisfied,22,Male,201,BC,0.028142189
1144,5-29-2017,Rural,Post - Graduation,"BPL/Below ₹ 5,000",RJD,INC,Fully Dissatisfied,Fully Dissatisfied,42,Male,180,Gen,1.325633645
1145,5-29-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",BJP,BJP,Fully Satisfied,Fully Satisfied,35,Male,211,Gen,0.300585436
1146,5-29-2017,Urban,Graduate,"₹ 30,000 - ₹ 50,000",RLSP,JD(U),Somewhat Satisfied,Fully Dissatisfied,33,Male,200,BC,0.603418649
1147,5-29-2017,Urban,Post - Graduation,"₹ 10,000 - ₹ 20,000",AIMIM,Did not vote,Fully Dissatisfied,Fully Dissatisfied,31,Male,172,EBC,1.821330139
1148,5-29-2017,Rural,Graduate,"₹ 20,000 - ₹ 30,000",RJD,RJD,Fully Dissatisfied,Fully Satisfied,30,Male,213,BC,1.179258931
1149,5-29-2017,Rural,Post - Graduation,"₹ 5,000 - ₹ 10,000",RLSP,BJP,Fully Dissatisfied,Somewhat Satisfied,29,Male,205,BC,0.603418649
1150,5-29-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",RJD,BJP,Fully Dissatisfied,Fully Dissatisfied,32,Male,206,Gen,0.275508747
1151,5-29-2017,Rural,8th Pass,"BPL/Below ₹ 5,000",Others,Others,Fully Dissatisfied,Fully Dissatisfied,31,Male,206,BC,0.222468843
1152,5-29-2017,Rural,10th Pass,"₹ 5,000 - ₹ 10,000",RLSP,RLSP,Fully Dissatisfied,Fully Satisfied,35,Male,203,BC,1.426017263
1153,5-29-2017,Rural,Post - Graduation,"₹ 20,000 - ₹ 30,000",Undecided,JD(U),Somewhat Satisfied,Fully Dissatisfied,29,Male,197,BC,0.275508747
1154,5-29-2017,Urban,Graduate,"₹ 80,000 - ₹ 1,50,000",RJD,NOTA,Somewhat Satisfied,Somewhat Dissatisfied,19,Male,172,BC,0.969390371
1155,5-29-2017,Urban,Graduate,"₹ 5,000 - ₹ 10,000",JAP(L),BJP,Somewhat Satisfied,Fully Dissatisfied,23,Male,186,BC,0.769738335
1156,5-29-2017,Rural,Graduate,"BPL/Below ₹ 5,000",RJD,BJP,Fully Dissatisfied,Somewhat Satisfied,28,Male,212,BC,0.656491085
1157,5-29-2017,Rural,Graduate,"₹ 30,000 - ₹ 50,000",INC,INC,Somewhat Satisfied,Fully Dissatisfied,20,Male,199,Gen,0.262162396
1158,5-29-2017,Urban,Professional Education,"₹ 1,50,000 & above",BJP,BJP,Somewhat Satisfied,Somewhat Satisfied,21,Male,208,Gen,0.228626832
1159,5-29-2017,Rural,Graduate,"₹ 1,50,000 & above",BJP,RJD,Somewhat Dissatisfied,Fully Dissatisfied,30,Male,208,BC,0.396958371
1160,5-29-2017,Rural,12th Pass,"₹ 20,000 - ₹ 30,000",JD(U),BJP,Can’t say,Fully Dissatisfied,38,Male,176,BC,0.192186871
1161,5-29-2017,Rural,10th Pass,"₹ 5,000 - ₹ 10,000",BJP,JD(U),Fully Satisfied,Fully Satisfied,24,Male,201,Gen,0.226477425
1162,5-29-2017,Urban,Graduate,"₹ 20,000 - ₹ 30,000",RJD,RJD,Fully Dissatisfied,Fully Satisfied,35,Male,205,Gen,0.209800785
1163,5-29-2017,Urban,Graduate,"₹ 50,000 - ₹ 80,000",Plurals,BJP,Fully Dissatisfied,Fully Satisfied,24,Male,172,EBC,6.010374264
1164,5-29-2017,Rural,12th Pass,"₹ 10,000 - ₹ 20,000",INC,Did not vote,Fully Dissatisfied,Fully Dissatisfied,67,Male,207,Gen,12.67943859
1165,5-29-2017,Rural,Graduate,"₹ 30,000 - ₹ 50,000",RLSP,BJP,Fully Dissatisfied,Somewhat Dissatisfied,21,Male,202,BC,1.172233991
1166,5-29-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",NOTA,Did not vote,Fully Dissatisfied,Fully Dissatisfied,20,Male,207,EBC,1.600183641
1167,5-29-2017,Rural,12th Pass,"₹ 20,000 - ₹ 30,000",RLSP,JD(U),Somewhat Dissatisfied,Fully Dissatisfied,44,Female,205,BC,4.200781364
1168,5-29-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",BJP,Did not vote,Somewhat Dissatisfied,Fully Dissatisfied,32,Male,173,Gen,0.181241919
1169,5-29-2017,Rural,Post - Graduation,"₹ 20,000 - ₹ 30,000",Plurals,BJP,Somewhat Satisfied,Fully Dissatisfied,25,Male,193,Gen,0.247091304
1170,5-29-2017,Urban,Graduate,"₹ 20,000 - ₹ 30,000",RJD,RJD,Somewhat Satisfied,Fully Dissatisfied,35,Male,212,BC,2.561563488
1171,5-29-2017,Rural,Graduate,"BPL/Below ₹ 5,000",NOTA,RJD,Fully Dissatisfied,Fully Dissatisfied,19,Male,192,Gen,0.226477425
1172,5-29-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",INC,JD(U),Somewhat Satisfied,Somewhat Satisfied,23,Male,209,Gen,0.226477425
1173,5-29-2017,Rural,10th Pass,"₹ 5,000 - ₹ 10,000",RLSP,RLSP,Fully Dissatisfied,Somewhat Dissatisfied,38,Male,213,BC,0.521282623
1174,5-29-2017,Urban,Graduate,"₹ 20,000 - ₹ 30,000",BJP,BJP,Somewhat Satisfied,Fully Dissatisfied,29,Male,194,BC,0.049291083
1175,5-29-2017,Rural,Post - Graduation,"BPL/Below ₹ 5,000",RJD,JD(U),Somewhat Dissatisfied,Fully Dissatisfied,22,Male,174,BC,3.641081425
1176,5-29-2017,Rural,Graduate,"₹ 20,000 - ₹ 30,000",BJP,BJP,Fully Dissatisfied,Fully Dissatisfied,31,Male,193,Gen,0.300585436
1177,5-29-2017,Rural,12th Pass,"₹ 80,000 - ₹ 1,50,000",INC,Did not vote,Fully Dissatisfied,Somewhat Satisfied,20,Male,209,Gen,0.228626832
1178,5-29-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",RJD,RJD,Fully Dissatisfied,Fully Dissatisfied,28,Male,202,BC,0.936383148
1179,5-29-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",RJD,RJD,Can’t say,Fully Satisfied,28,Male,199,BC,0.936383148
1180,5-29-2017,Rural,12th Pass,"₹ 10,000 - ₹ 20,000",BJP,BJP,Fully Satisfied,Fully Dissatisfied,20,Male,194,Gen,0.247091304
1181,5-29-2017,Rural,Graduate,"BPL/Below ₹ 5,000",BJP,BJP,Somewhat Satisfied,Can’t say,46,Male,195,Gen,1.261740378
1182,5-29-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",JD(U),JD(U),Fully Satisfied,Fully Satisfied,22,Male,201,Gen,0.521611571
1183,5-29-2017,Rural,Post - Graduation,"₹ 5,000 - ₹ 10,000",BJP,LJP,Somewhat Satisfied,Fully Dissatisfied,42,Male,185,Gen,2.092566579
1184,5-29-2017,Rural,12th Pass,"₹ 5,000 - ₹ 10,000",BJP,JD(U),Fully Dissatisfied,Fully Dissatisfied,30,Male,202,BC,0.10405384
1185,5-29-2017,Rural,Graduate,"₹ 30,000 - ₹ 50,000",NOTA,JD(U),Somewhat Satisfied,Somewhat Dissatisfied,44,Male,172,BC,2.824391024
1186,5-29-2017,Rural,12th Pass,"BPL/Below ₹ 5,000",BJP,LJP,Somewhat Satisfied,Somewhat Satisfied,30,Male,173,EBC,0.049291083
1187,5-29-2017,Urban,Post - Graduation,"₹ 5,000 - ₹ 10,000",RJD,JD(U),Fully Dissatisfied,Somewhat Dissatisfied,30,Male,172,EBC,3.496873953
1188,5-29-2017,Rural,Graduate,"₹ 50,000 - ₹ 80,000",LJP,JD(U),Somewhat Dissatisfied,Fully Dissatisfied,25,Male,174,BC,0.904591557
1189,5-29-2017,Rural,12th Pass,"₹ 50,000 - ₹ 80,000",RJD,RJD,Fully Dissatisfied,Fully Dissatisfied,18,Male,193,BC,0.769738335
1190,5-29-2017,Rural,Post - Graduation,"₹ 1,50,000 & above",BJP,JD(U),Fully Dissatisfied,Fully Dissatisfied,30,Male,209,Gen,0.275508747
1191,5-29-2017,Rural,Graduate,"BPL/Below ₹ 5,000",RLSP,RJD,Fully Dissatisfied,Somewhat Satisfied,25,Male,209,BC,1.172233991
1192,5-29-2017,Rural,12th Pass,"₹ 5,000 - ₹ 10,000",BJP,RJD,Fully Dissatisfied,Somewhat Dissatisfied,36,Male,200,BC,0.936383148
1193,5-30-2017,Rural,12th Pass,"₹ 50,000 - ₹ 80,000",JD(U),BJP,Somewhat Satisfied,Fully Dissatisfied,23,Male,191,Gen,0.148986932
1194,5-30-2017,Urban,Post - Graduation,"₹ 10,000 - ₹ 20,000",RJD,RJD,Somewhat Satisfied,Somewhat Dissatisfied,26,Male,194,Gen,0.138016296
1195,5-30-2017,Rural,Graduate,"₹ 50,000 - ₹ 80,000",NOTA,BJP,Fully Dissatisfied,Fully Dissatisfied,26,Male,199,Gen,0.125880553
1196,5-30-2017,Rural,10th Pass,"₹ 5,000 - ₹ 10,000",RLSP,RJD,Fully Dissatisfied,Fully Dissatisfied,40,Male,187,BC,0.521282623
1197,5-30-2017,Urban,Graduate,"₹ 1,50,000 & above",VIP,JD(U),Fully Dissatisfied,Fully Dissatisfied,30,Male,172,EBC,3.020887124
1198,5-30-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",JD(U),JD(U),Fully Satisfied,Somewhat Dissatisfied,28,Male,177,BC,0.405707907
1199,5-30-2017,Rural,10th Pass,"₹ 5,000 - ₹ 10,000",RJD,RJD,Fully Satisfied,Fully Satisfied,22,Male,180,BC,0.586158184
1200,5-30-2017,Rural,Post - Graduation,"₹ 50,000 - ₹ 80,000",RJD,RJD,Somewhat Dissatisfied,Fully Dissatisfied,28,Male,176,BC,1.08392459
1201,5-30-2017,Rural,12th Pass,"₹ 50,000 - ₹ 80,000",BJP,LJP,Fully Dissatisfied,Somewhat Dissatisfied,25,Male,201,BC,0.42851179
1202,5-30-2017,Rural,12th Pass,"BPL/Below ₹ 5,000",BJP,BJP,Somewhat Satisfied,Fully Satisfied,30,Male,203,BC,0.936383148
1203,5-30-2017,Rural,Post - Graduation,"₹ 30,000 - ₹ 50,000",RJD,BJP,Fully Dissatisfied,Somewhat Dissatisfied,25,Male,200,BC,1.624923319
1204,5-30-2017,Rural,Graduate,"BPL/Below ₹ 5,000",LJP,HAM,Somewhat Satisfied,Somewhat Satisfied,25,Male,188,SC,1.837387299
1205,5-30-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",RJD,RJD,Fully Dissatisfied,Fully Dissatisfied,29,Male,175,BC,0.713058738
1206,5-30-2017,Rural,Graduate,"₹ 1,50,000 & above",BJP,JD(U),Somewhat Satisfied,Fully Dissatisfied,20,Male,186,Gen,0.478095519
1207,5-30-2017,Rural,Graduate,"₹ 30,000 - ₹ 50,000",RJD,RJD,Fully Dissatisfied,Fully Dissatisfied,30,Male,187,BC,0.713058738
1208,5-30-2017,Rural,Post - Graduation,"₹ 5,000 - ₹ 10,000",BJP,BJP,Somewhat Satisfied,Somewhat Satisfied,45,Male,202,Gen,1.91799178
1209,5-30-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",RJD,RJD,Fully Dissatisfied,Somewhat Dissatisfied,32,Male,198,SC,11.53715442
1210,5-30-2017,Urban,Graduate,"₹ 5,000 - ₹ 10,000",BJP,BJP,Fully Satisfied,Fully Dissatisfied,23,Male,200,Gen,0.148986932
1211,5-30-2017,Rural,Graduate,"₹ 30,000 - ₹ 50,000",RLSP,JD(U),Fully Dissatisfied,Somewhat Dissatisfied,27,Male,210,EBC,8.26391865
1212,5-30-2017,Urban,Graduate,"₹ 50,000 - ₹ 80,000",BJP,BJP,Fully Dissatisfied,Can’t say,29,Male,178,Gen,0.300585436
1213,5-30-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",RJD,RJD,Fully Dissatisfied,Fully Dissatisfied,43,Male,188,Gen,1.593496088
1214,5-31-2017,Rural,Professional Education,"₹ 1,50,000 & above",BJP,BJP,Somewhat Satisfied,Fully Dissatisfied,32,Male,213,Gen,0.300585436
1215,5-31-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",RJD,RJD,Fully Dissatisfied,Fully Dissatisfied,24,Male,180,BC,0.891022347
1216,5-31-2017,Rural,Graduate,"₹ 20,000 - ₹ 30,000",BJP,Did not vote,Somewhat Satisfied,Fully Dissatisfied,22,Male,210,Gen,0.135224759
1217,5-31-2017,Rural,Post - Graduation,"₹ 80,000 - ₹ 1,50,000",JD(U),JD(U),Fully Satisfied,Fully Satisfied,30,Male,176,BC,0.405707907
1218,5-31-2017,Urban,Graduate,"₹ 20,000 - ₹ 30,000",BJP,BJP,Fully Dissatisfied,Fully Dissatisfied,21,Female,180,Gen,0.247091304
1219,5-31-2017,Rural,Post - Graduation,"₹ 5,000 - ₹ 10,000",JD(U),JD(U),Fully Satisfied,Somewhat Satisfied,24,Male,174,BC,0.904591557
1220,5-31-2017,Rural,Graduate,"₹ 50,000 - ₹ 80,000",JD(U),JD(U),Somewhat Satisfied,Fully Satisfied,21,Male,210,Gen,0.247091304
1221,5-31-2017,Rural,12th Pass,"₹ 5,000 - ₹ 10,000",BJP,BJP,Somewhat Dissatisfied,Fully Dissatisfied,30,Male,190,Gen,0.181241919
1222,5-31-2017,Rural,Post - Graduation,"₹ 1,50,000 & above",RJD,BJP,Fully Dissatisfied,Fully Dissatisfied,27,Male,207,BC,0.603418649
1223,5-31-2017,Rural,Professional Education,"₹ 5,000 - ₹ 10,000",Plurals,Others,Fully Dissatisfied,Fully Dissatisfied,30,Male,201,Gen,0.300585436
1224,5-31-2017,Urban,Post - Graduation,"BPL/Below ₹ 5,000",RLSP,BJP,Fully Dissatisfied,Fully Dissatisfied,29,Male,205,BC,0.603418649
1225,5-31-2017,Rural,Graduate,"BPL/Below ₹ 5,000",NOTA,NOTA,Fully Dissatisfied,Fully Dissatisfied,21,Male,212,ST,1.45656401
1226,5-31-2017,Urban,10th Pass,"₹ 10,000 - ₹ 20,000",BJP,BJP,Can’t say,Can’t say,34,Male,184,BC,0.192186871
1227,5-31-2017,Urban,Graduate,"₹ 1,50,000 & above",NOTA,JD(U),Somewhat Satisfied,Fully Dissatisfied,34,Male,194,BC,0.66506573
1228,5-31-2017,Rural,Post - Graduation,"BPL/Below ₹ 5,000",BJP,BJP,Fully Dissatisfied,Fully Dissatisfied,25,Male,175,Gen,0.148986932
1229,5-31-2017,Urban,Graduate,"₹ 5,000 - ₹ 10,000",JAP(L),JD(U),Somewhat Satisfied,Somewhat Satisfied,32,Male,186,Gen,1.359335265
1230,5-31-2017,Urban,Post - Graduation,"₹ 30,000 - ₹ 50,000",BJP,BJP,Somewhat Dissatisfied,Fully Dissatisfied,32,Male,172,Gen,0.181241919
1231,5-31-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",JAP(L),JD(U),Fully Dissatisfied,Fully Dissatisfied,45,Male,178,SC,17.76034535
1232,6-1-2017,Rural,12th Pass,"₹ 5,000 - ₹ 10,000",BJP,BJP,Can’t say,Somewhat Dissatisfied,24,Male,171,Gen,0.148986932
1233,6-1-2017,Rural,Graduate,"₹ 30,000 - ₹ 50,000",RJD,BJP,Fully Dissatisfied,Fully Dissatisfied,23,Male,195,BC,0.120305356
1234,6-1-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",BJP,BJP,Fully Satisfied,Fully Dissatisfied,34,Male,198,Gen,0.300585436
1235,6-1-2017,Urban,Graduate,"₹ 5,000 - ₹ 10,000",BJP,Did not vote,Fully Dissatisfied,Fully Dissatisfied,25,Female,194,Gen,0.148986932
1236,6-1-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",RJD,RJD,Somewhat Dissatisfied,Fully Dissatisfied,27,Male,176,EBC,0.713058738
1237,6-1-2017,Urban,8th Pass,"₹ 1,50,000 & above",BJP,BJP,Somewhat Dissatisfied,Somewhat Satisfied,57,Male,194,Gen,1.91799178
1238,6-1-2017,Rural,Graduate,"₹ 80,000 - ₹ 1,50,000",RLSP,JD(U),Fully Dissatisfied,Fully Dissatisfied,24,Male,202,BC,0.15798405
1239,6-1-2017,Urban,Graduate,"₹ 30,000 - ₹ 50,000",BJP,BJP,Fully Satisfied,Somewhat Satisfied,55,Male,186,BC,1.337935162
1240,6-1-2017,Urban,Post - Graduation,"₹ 1,50,000 & above",RJD,JD(U),Fully Dissatisfied,Fully Dissatisfied,30,Female,185,EBC,0.767002068
1241,6-1-2017,Urban,Graduate,"₹ 10,000 - ₹ 20,000",BJP,RJD,Fully Satisfied,Somewhat Satisfied,40,Male,208,Gen,0.209800785
1242,6-1-2017,Rural,Graduate,"₹ 50,000 - ₹ 80,000",JAP(L),JD(U),Somewhat Satisfied,Fully Dissatisfied,38,Male,171,Gen,0.181241919
1243,6-1-2017,Urban,12th Pass,"BPL/Below ₹ 5,000",RJD,BJP,Fully Dissatisfied,Fully Satisfied,30,Male,201,BC,0.936383148
1244,6-1-2017,Urban,Graduate,"₹ 5,000 - ₹ 10,000",NOTA,BJP,Fully Dissatisfied,Fully Dissatisfied,30,Male,194,Gen,0.181241919
1245,6-1-2017,Rural,Graduate,"₹ 20,000 - ₹ 30,000",RJD,Did not vote,Fully Dissatisfied,Fully Dissatisfied,25,Male,180,BC,0.769738335
1246,6-1-2017,Rural,12th Pass,"₹ 5,000 - ₹ 10,000",RJD,BJP,Somewhat Dissatisfied,Somewhat Dissatisfied,25,Male,180,BC,0.769738335
1247,6-1-2017,Rural,12th Pass,"₹ 30,000 - ₹ 50,000",BJP,Did not vote,Somewhat Satisfied,Fully Dissatisfied,32,Male,198,Gen,0.275508747
1248,6-1-2017,Rural,10th Pass,"₹ 5,000 - ₹ 10,000",BJP,BJP,Somewhat Satisfied,Fully Dissatisfied,34,Male,189,BC,0.192186871
1249,6-1-2017,Urban,Graduate,"₹ 80,000 - ₹ 1,50,000",Plurals,NOTA,Fully Dissatisfied,Fully Dissatisfied,27,Male,186,Gen,0.300585436
1250,5-24-2017,Rural,12th Pass,"BPL/Below ₹ 5,000",RJD,RJD,Fully Dissatisfied,Somewhat Satisfied,18,Male,137,BC,0.365892022
1251,5-24-2017,Rural,10th Pass,"BPL/Below ₹ 5,000",BJP,BJP,Somewhat Satisfied,Somewhat Satisfied,24,Male,136,EBC,0.17914322
1252,5-24-2017,Urban,Graduate,"₹ 20,000 - ₹ 30,000",JAP(L),BJP,Fully Dissatisfied,Fully Dissatisfied,33,Male,75,Gen,0.040013272
1253,5-24-2017,Rural,Post - Graduation,"₹ 30,000 - ₹ 50,000",JD(U),JD(U),Fully Satisfied,Fully Satisfied,65,Male,136,Gen,1.889087065
1254,5-24-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",BJP,BJP,Somewhat Dissatisfied,Fully Satisfied,41,Male,136,Gen,0.386773487
1255,5-24-2017,Urban,Graduate,"BPL/Below ₹ 5,000",RJD,RJD,Somewhat Satisfied,Fully Dissatisfied,25,Male,83,EBC,0.689613433
1256,5-24-2017,Urban,Post - Graduation,"₹ 20,000 - ₹ 30,000",BJP,BJP,Fully Dissatisfied,Fully Dissatisfied,54,Male,75,Gen,3.144910986
1257,5-24-2017,Rural,8th Pass,"BPL/Below ₹ 5,000",JAP(L),JD(U),Can’t say,Fully Dissatisfied,28,Male,40,Gen,0.113119294
1258,5-24-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",BJP,JD(U),Somewhat Dissatisfied,Fully Dissatisfied,49,Male,38,Gen,0.206848631
1259,5-24-2017,Rural,Graduate,"₹ 30,000 - ₹ 50,000",BJP,Did not vote,Fully Dissatisfied,Fully Dissatisfied,22,Male,82,Gen,0.100106672
1260,5-24-2017,Rural,12th Pass,"BPL/Below ₹ 5,000",JAP(L),JAP(L),Can’t say,Fully Dissatisfied,20,Male,77,Gen,0.249894669
1261,5-24-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",RJD,BJP,Fully Dissatisfied,Fully Dissatisfied,25,Male,138,BC,0.201455078
1262,5-24-2017,Rural,Post - Graduation,"BPL/Below ₹ 5,000",JD(U),JD(U),Somewhat Satisfied,Somewhat Satisfied,22,Male,132,BC,0.58739055
1263,5-24-2017,Rural,Professional Education,"₹ 30,000 - ₹ 50,000",RJD,RJD,Somewhat Dissatisfied,Fully Dissatisfied,27,Male,138,BC,1.19496097
